current_date_formatted,current_label_en,current_lat,current_lng,current_confirmed
20.09.2020,Chernihivska,51.355018,32.004509,3263
21.09.2020,Chernihivska,51.355018,32.004509,3341
22.09.2020,Chernihivska,51.355018,32.004509,3411
13.03.2020,Chernivetska,48.268275,25.976996,2
14.03.2020,Chernivetska,48.268275,25.976996,2
15.03.2020,Chernivetska,48.268275,25.976996,2
16.03.2020,Chernivetska,48.268275,25.976996,4
17.03.2020,Chernivetska,48.268275,25.976996,10
18.03.2020,Chernivetska,48.268275,25.976996,10
19.03.2020,Chernivetska,48.268275,25.976996,15
20.03.2020,Chernivetska,48.268275,25.976996,25
21.03.2020,Chernivetska,48.268275,25.976996,25
22.03.2020,Chernivetska,48.268275,25.976996,25
23.03.2020,Chernivetska,48.268275,25.976996,25
24.03.2020,Chernivetska,48.268275,25.976996,38
25.03.2020,Chernivetska,48.268275,25.976996,38
26.03.2020,Chernivetska,48.268275,25.976996,42
27.03.2020,Chernivetska,48.268275,25.976996,47
28.03.2020,Chernivetska,48.268275,25.976996,47
29.03.2020,Chernivetska,48.268275,25.976996,59
30.03.2020,Chernivetska,48.268275,25.976996,75
31.03.2020,Chernivetska,48.268275,25.976996,104
01.04.2020,Chernivetska,48.268275,25.976996,143
02.04.2020,Chernivetska,48.268275,25.976996,168
03.04.2020,Chernivetska,48.268275,25.976996,203
04.04.2020,Chernivetska,48.268275,25.976996,220
05.04.2020,Chernivetska,48.268275,25.976996,220
06.04.2020,Chernivetska,48.268275,25.976996,220
07.04.2020,Chernivetska,48.268275,25.976996,247
08.04.2020,Chernivetska,48.268275,25.976996,273
09.04.2020,Chernivetska,48.268275,25.976996,302
10.04.2020,Chernivetska,48.268275,25.976996,366
11.04.2020,Chernivetska,48.268275,25.976996,409
12.04.2020,Chernivetska,48.268275,25.976996,432
13.04.2020,Chernivetska,48.268275,25.976996,462
14.04.2020,Chernivetska,48.268275,25.976996,546
15.04.2020,Chernivetska,48.268275,25.976996,589
16.04.2020,Chernivetska,48.268275,25.976996,662
17.04.2020,Chernivetska,48.268275,25.976996,759
18.04.2020,Chernivetska,48.268275,25.976996,840
19.04.2020,Chernivetska,48.268275,25.976996,889
20.04.2020,Chernivetska,48.268275,25.976996,906
21.04.2020,Chernivetska,48.268275,25.976996,988
22.04.2020,Chernivetska,48.268275,25.976996,1053
23.04.2020,Chernivetska,48.268275,25.976996,1140
24.04.2020,Chernivetska,48.268275,25.976996,1199
25.04.2020,Chernivetska,48.268275,25.976996,1308
26.04.2020,Chernivetska,48.268275,25.976996,1341
27.04.2020,Chernivetska,48.268275,25.976996,1375
28.04.2020,Chernivetska,48.268275,25.976996,1429
29.04.2020,Chernivetska,48.268275,25.976996,1489
30.04.2020,Chernivetska,48.268275,25.976996,1571
01.05.2020,Chernivetska,48.268275,25.976996,1667
02.05.2020,Chernivetska,48.268275,25.976996,1745
03.05.2020,Chernivetska,48.268275,25.976996,1818
04.05.2020,Chernivetska,48.268275,25.976996,1887
05.05.2020,Chernivetska,48.268275,25.976996,1948
06.05.2020,Chernivetska,48.268275,25.976996,1985
07.05.2020,Chernivetska,48.268275,25.976996,2048
08.05.2020,Chernivetska,48.268275,25.976996,2097
09.05.2020,Chernivetska,48.268275,25.976996,2179
10.05.2020,Chernivetska,48.268275,25.976996,2268
11.05.2020,Chernivetska,48.268275,25.976996,2324
12.05.2020,Chernivetska,48.268275,25.976996,2396
13.05.2020,Chernivetska,48.268275,25.976996,2444
14.05.2020,Chernivetska,48.268275,25.976996,2516
15.05.2020,Chernivetska,48.268275,25.976996,2600
16.05.2020,Chernivetska,48.268275,25.976996,2647
17.05.2020,Chernivetska,48.268275,25.976996,2694
18.05.2020,Chernivetska,48.268275,25.976996,2713
19.05.2020,Chernivetska,48.268275,25.976996,2742
20.05.2020,Chernivetska,48.268275,25.976996,2796
21.05.2020,Chernivetska,48.268275,25.976996,2842
22.05.2020,Chernivetska,48.268275,25.976996,2905
23.05.2020,Chernivetska,48.268275,25.976996,2964
24.05.2020,Chernivetska,48.268275,25.976996,3028
25.05.2020,Chernivetska,48.268275,25.976996,3083
26.05.2020,Chernivetska,48.268275,25.976996,3101
27.05.2020,Chernivetska,48.268275,25.976996,3144
28.05.2020,Chernivetska,48.268275,25.976996,3201
29.05.2020,Chernivetska,48.268275,25.976996,3259
30.05.2020,Chernivetska,48.268275,25.976996,3306
31.05.2020,Chernivetska,48.268275,25.976996,3349
01.06.2020,Chernivetska,48.268275,25.976996,3377
02.06.2020,Chernivetska,48.268275,25.976996,3410
03.06.2020,Chernivetska,48.268275,25.976996,3442
04.06.2020,Chernivetska,48.268275,25.976996,3481
05.06.2020,Chernivetska,48.268275,25.976996,3519
06.06.2020,Chernivetska,48.268275,25.976996,3585
07.06.2020,Chernivetska,48.268275,25.976996,3639
08.06.2020,Chernivetska,48.268275,25.976996,3698
09.06.2020,Chernivetska,48.268275,25.976996,3729
10.06.2020,Chernivetska,48.268275,25.976996,3757
11.06.2020,Chernivetska,48.268275,25.976996,3793
12.06.2020,Chernivetska,48.268275,25.976996,3831
13.06.2020,Chernivetska,48.268275,25.976996,3869
14.06.2020,Chernivetska,48.268275,25.976996,3916
15.06.2020,Chernivetska,48.268275,25.976996,3959
16.06.2020,Chernivetska,48.268275,25.976996,4013
17.06.2020,Chernivetska,48.268275,25.976996,4082
18.06.2020,Chernivetska,48.268275,25.976996,4135
19.06.2020,Chernivetska,48.268275,25.976996,4211
20.06.2020,Chernivetska,48.268275,25.976996,4268
21.06.2020,Chernivetska,48.268275,25.976996,4324
22.06.2020,Chernivetska,48.268275,25.976996,4357
23.06.2020,Chernivetska,48.268275,25.976996,4419
24.06.2020,Chernivetska,48.268275,25.976996,4478
25.06.2020,Chernivetska,48.268275,25.976996,4531
26.06.2020,Chernivetska,48.268275,25.976996,4582
27.06.2020,Chernivetska,48.268275,25.976996,4631
28.06.2020,Chernivetska,48.268275,25.976996,4686
29.06.2020,Chernivetska,48.268275,25.976996,4745
30.06.2020,Chernivetska,48.268275,25.976996,4801
01.07.2020,Chernivetska,48.268275,25.976996,4850
02.07.2020,Chernivetska,48.268275,25.976996,4894
03.07.2020,Chernivetska,48.268275,25.976996,4935
04.07.2020,Chernivetska,48.268275,25.976996,4972
05.07.2020,Chernivetska,48.268275,25.976996,5002
06.07.2020,Chernivetska,48.268275,25.976996,5018
07.07.2020,Chernivetska,48.268275,25.976996,5032
08.07.2020,Chernivetska,48.268275,25.976996,5051
09.07.2020,Chernivetska,48.268275,25.976996,5074
10.07.2020,Chernivetska,48.268275,25.976996,5096
11.07.2020,Chernivetska,48.268275,25.976996,5117
12.07.2020,Chernivetska,48.268275,25.976996,5140
13.07.2020,Chernivetska,48.268275,25.976996,5161
14.07.2020,Chernivetska,48.268275,25.976996,5184
15.07.2020,Chernivetska,48.268275,25.976996,5208
16.07.2020,Chernivetska,48.268275,25.976996,5232
17.07.2020,Chernivetska,48.268275,25.976996,5262
18.07.2020,Chernivetska,48.268275,25.976996,5289
19.07.2020,Chernivetska,48.268275,25.976996,5311
20.07.2020,Chernivetska,48.268275,25.976996,5332
21.07.2020,Chernivetska,48.268275,25.976996,5363
22.07.2020,Chernivetska,48.268275,25.976996,5404
23.07.2020,Chernivetska,48.268275,25.976996,5443
24.07.2020,Chernivetska,48.268275,25.976996,5485
25.07.2020,Chernivetska,48.268275,25.976996,5548
26.07.2020,Chernivetska,48.268275,25.976996,5592
27.07.2020,Chernivetska,48.268275,25.976996,5634
28.07.2020,Chernivetska,48.268275,25.976996,5692
