current_date_formatted,current_label_en,current_death
21.09.2020,Chernihivska,46
22.09.2020,Chernihivska,46
13.03.2020,Chernivetska,0
14.03.2020,Chernivetska,0
15.03.2020,Chernivetska,0
16.03.2020,Chernivetska,0
17.03.2020,Chernivetska,1
18.03.2020,Chernivetska,1
19.03.2020,Chernivetska,1
20.03.2020,Chernivetska,1
21.03.2020,Chernivetska,1
22.03.2020,Chernivetska,1
23.03.2020,Chernivetska,1
24.03.2020,Chernivetska,1
25.03.2020,Chernivetska,1
26.03.2020,Chernivetska,1
27.03.2020,Chernivetska,1
28.03.2020,Chernivetska,1
29.03.2020,Chernivetska,1
30.03.2020,Chernivetska,1
31.03.2020,Chernivetska,4
01.04.2020,Chernivetska,5
02.04.2020,Chernivetska,5
03.04.2020,Chernivetska,5
04.04.2020,Chernivetska,5
05.04.2020,Chernivetska,5
06.04.2020,Chernivetska,5
07.04.2020,Chernivetska,6
08.04.2020,Chernivetska,6
09.04.2020,Chernivetska,6
10.04.2020,Chernivetska,7
11.04.2020,Chernivetska,8
12.04.2020,Chernivetska,8
13.04.2020,Chernivetska,8
14.04.2020,Chernivetska,8
15.04.2020,Chernivetska,8
16.04.2020,Chernivetska,8
17.04.2020,Chernivetska,11
18.04.2020,Chernivetska,12
19.04.2020,Chernivetska,13
20.04.2020,Chernivetska,13
21.04.2020,Chernivetska,16
22.04.2020,Chernivetska,20
23.04.2020,Chernivetska,21
24.04.2020,Chernivetska,23
25.04.2020,Chernivetska,24
26.04.2020,Chernivetska,26
27.04.2020,Chernivetska,26
28.04.2020,Chernivetska,33
29.04.2020,Chernivetska,36
30.04.2020,Chernivetska,39
01.05.2020,Chernivetska,44
02.05.2020,Chernivetska,45
03.05.2020,Chernivetska,47
04.05.2020,Chernivetska,53
05.05.2020,Chernivetska,55
06.05.2020,Chernivetska,57
07.05.2020,Chernivetska,62
08.05.2020,Chernivetska,67
09.05.2020,Chernivetska,70
10.05.2020,Chernivetska,76
11.05.2020,Chernivetska,81
12.05.2020,Chernivetska,84
13.05.2020,Chernivetska,87
14.05.2020,Chernivetska,89
15.05.2020,Chernivetska,95
16.05.2020,Chernivetska,99
17.05.2020,Chernivetska,102
18.05.2020,Chernivetska,107
19.05.2020,Chernivetska,110
20.05.2020,Chernivetska,114
21.05.2020,Chernivetska,116
22.05.2020,Chernivetska,119
23.05.2020,Chernivetska,122
24.05.2020,Chernivetska,125
25.05.2020,Chernivetska,127
26.05.2020,Chernivetska,132
27.05.2020,Chernivetska,133
28.05.2020,Chernivetska,134
29.05.2020,Chernivetska,135
30.05.2020,Chernivetska,137
31.05.2020,Chernivetska,140
01.06.2020,Chernivetska,144
02.06.2020,Chernivetska,144
03.06.2020,Chernivetska,147
04.06.2020,Chernivetska,148
05.06.2020,Chernivetska,150
06.06.2020,Chernivetska,151
07.06.2020,Chernivetska,151
08.06.2020,Chernivetska,152
09.06.2020,Chernivetska,152
10.06.2020,Chernivetska,157
11.06.2020,Chernivetska,159
12.06.2020,Chernivetska,163
13.06.2020,Chernivetska,164
14.06.2020,Chernivetska,164
15.06.2020,Chernivetska,165
16.06.2020,Chernivetska,165
17.06.2020,Chernivetska,166
18.06.2020,Chernivetska,170
19.06.2020,Chernivetska,171
20.06.2020,Chernivetska,171
21.06.2020,Chernivetska,171
22.06.2020,Chernivetska,171
23.06.2020,Chernivetska,176
24.06.2020,Chernivetska,176
25.06.2020,Chernivetska,177
26.06.2020,Chernivetska,178
27.06.2020,Chernivetska,180
28.06.2020,Chernivetska,180
29.06.2020,Chernivetska,182
30.06.2020,Chernivetska,183
01.07.2020,Chernivetska,183
02.07.2020,Chernivetska,183
03.07.2020,Chernivetska,183
04.07.2020,Chernivetska,185
05.07.2020,Chernivetska,187
06.07.2020,Chernivetska,188
07.07.2020,Chernivetska,190
08.07.2020,Chernivetska,192
09.07.2020,Chernivetska,193
10.07.2020,Chernivetska,194
11.07.2020,Chernivetska,197
12.07.2020,Chernivetska,200
13.07.2020,Chernivetska,201
14.07.2020,Chernivetska,201
15.07.2020,Chernivetska,201
16.07.2020,Chernivetska,203
17.07.2020,Chernivetska,204
18.07.2020,Chernivetska,204
19.07.2020,Chernivetska,205
20.07.2020,Chernivetska,205
21.07.2020,Chernivetska,205
22.07.2020,Chernivetska,208
23.07.2020,Chernivetska,209
24.07.2020,Chernivetska,210
25.07.2020,Chernivetska,211
26.07.2020,Chernivetska,213
27.07.2020,Chernivetska,214
28.07.2020,Chernivetska,215
29.07.2020,Chernivetska,216
30.07.2020,Chernivetska,216
31.07.2020,Chernivetska,216
01.08.2020,Chernivetska,216
02.08.2020,Chernivetska,216
03.08.2020,Chernivetska,218
04.08.2020,Chernivetska,219
05.08.2020,Chernivetska,220
06.08.2020,Chernivetska,220
07.08.2020,Chernivetska,222
08.08.2020,Chernivetska,224
09.08.2020,Chernivetska,225
10.08.2020,Chernivetska,228
11.08.2020,Chernivetska,230
12.08.2020,Chernivetska,232
13.08.2020,Chernivetska,232
14.08.2020,Chernivetska,233
15.08.2020,Chernivetska,235
16.08.2020,Chernivetska,237
17.08.2020,Chernivetska,237
18.08.2020,Chernivetska,240
19.08.2020,Chernivetska,244
20.08.2020,Chernivetska,248
21.08.2020,Chernivetska,249
22.08.2020,Chernivetska,254
23.08.2020,Chernivetska,256
24.08.2020,Chernivetska,259
25.08.2020,Chernivetska,261
26.08.2020,Chernivetska,265
27.08.2020,Chernivetska,270
28.08.2020,Chernivetska,273
29.08.2020,Chernivetska,274
30.08.2020,Chernivetska,277
31.08.2020,Chernivetska,279
01.09.2020,Chernivetska,284
02.09.2020,Chernivetska,287
03.09.2020,Chernivetska,289
04.09.2020,Chernivetska,292
05.09.2020,Chernivetska,295
06.09.2020,Chernivetska,297
07.09.2020,Chernivetska,302
08.09.2020,Chernivetska,303
09.09.2020,Chernivetska,304
10.09.2020,Chernivetska,306
11.09.2020,Chernivetska,310
12.09.2020,Chernivetska,311
13.09.2020,Chernivetska,311
14.09.2020,Chernivetska,312
15.09.2020,Chernivetska,317
16.09.2020,Chernivetska,321
17.09.2020,Chernivetska,325
18.09.2020,Chernivetska,328
19.09.2020,Chernivetska,329
20.09.2020,Chernivetska,331
21.09.2020,Chernivetska,332
22.09.2020,Chernivetska,338
13.03.2020,Dnipropetrovska,0
14.03.2020,Dnipropetrovska,0
15.03.2020,Dnipropetrovska,0
16.03.2020,Dnipropetrovska,0
17.03.2020,Dnipropetrovska,0
18.03.2020,Dnipropetrovska,0
19.03.2020,Dnipropetrovska,0
20.03.2020,Dnipropetrovska,0
21.03.2020,Dnipropetrovska,0
22.03.2020,Dnipropetrovska,0
23.03.2020,Dnipropetrovska,0
24.03.2020,Dnipropetrovska,0
25.03.2020,Dnipropetrovska,0
26.03.2020,Dnipropetrovska,0
27.03.2020,Dnipropetrovska,0
28.03.2020,Dnipropetrovska,0
29.03.2020,Dnipropetrovska,0
30.03.2020,Dnipropetrovska,0
31.03.2020,Dnipropetrovska,0
01.04.2020,Dnipropetrovska,0
02.04.2020,Dnipropetrovska,0
03.04.2020,Dnipropetrovska,0
04.04.2020,Dnipropetrovska,0
05.04.2020,Dnipropetrovska,0
06.04.2020,Dnipropetrovska,0
07.04.2020,Dnipropetrovska,0
08.04.2020,Dnipropetrovska,0
09.04.2020,Dnipropetrovska,0
10.04.2020,Dnipropetrovska,0
11.04.2020,Dnipropetrovska,0
12.04.2020,Dnipropetrovska,0
13.04.2020,Dnipropetrovska,0
14.04.2020,Dnipropetrovska,0
15.04.2020,Dnipropetrovska,0
16.04.2020,Dnipropetrovska,1
17.04.2020,Dnipropetrovska,1
18.04.2020,Dnipropetrovska,1
19.04.2020,Dnipropetrovska,1
20.04.2020,Dnipropetrovska,1
21.04.2020,Dnipropetrovska,1
22.04.2020,Dnipropetrovska,1
23.04.2020,Dnipropetrovska,1
24.04.2020,Dnipropetrovska,1
25.04.2020,Dnipropetrovska,1
26.04.2020,Dnipropetrovska,1
27.04.2020,Dnipropetrovska,1
28.04.2020,Dnipropetrovska,2
29.04.2020,Dnipropetrovska,3
30.04.2020,Dnipropetrovska,3
01.05.2020,Dnipropetrovska,3
02.05.2020,Dnipropetrovska,3
03.05.2020,Dnipropetrovska,4
04.05.2020,Dnipropetrovska,4
05.05.2020,Dnipropetrovska,4
06.05.2020,Dnipropetrovska,4
07.05.2020,Dnipropetrovska,4
08.05.2020,Dnipropetrovska,5
09.05.2020,Dnipropetrovska,5
10.05.2020,Dnipropetrovska,6
11.05.2020,Dnipropetrovska,6
12.05.2020,Dnipropetrovska,7
13.05.2020,Dnipropetrovska,9
14.05.2020,Dnipropetrovska,10
15.05.2020,Dnipropetrovska,10
16.05.2020,Dnipropetrovska,11
17.05.2020,Dnipropetrovska,12
18.05.2020,Dnipropetrovska,13
19.05.2020,Dnipropetrovska,13
20.05.2020,Dnipropetrovska,13
21.05.2020,Dnipropetrovska,13
22.05.2020,Dnipropetrovska,13
23.05.2020,Dnipropetrovska,16
24.05.2020,Dnipropetrovska,17
25.05.2020,Dnipropetrovska,17
26.05.2020,Dnipropetrovska,18
27.05.2020,Dnipropetrovska,19
28.05.2020,Dnipropetrovska,19
29.05.2020,Dnipropetrovska,20
30.05.2020,Dnipropetrovska,20
31.05.2020,Dnipropetrovska,21
01.06.2020,Dnipropetrovska,21
02.06.2020,Dnipropetrovska,21
03.06.2020,Dnipropetrovska,21
04.06.2020,Dnipropetrovska,21
05.06.2020,Dnipropetrovska,21
06.06.2020,Dnipropetrovska,21
07.06.2020,Dnipropetrovska,22
08.06.2020,Dnipropetrovska,22
09.06.2020,Dnipropetrovska,22
10.06.2020,Dnipropetrovska,22
11.06.2020,Dnipropetrovska,22
12.06.2020,Dnipropetrovska,22
13.06.2020,Dnipropetrovska,22
14.06.2020,Dnipropetrovska,22
15.06.2020,Dnipropetrovska,22
16.06.2020,Dnipropetrovska,22
17.06.2020,Dnipropetrovska,23
18.06.2020,Dnipropetrovska,23
19.06.2020,Dnipropetrovska,23
20.06.2020,Dnipropetrovska,23
21.06.2020,Dnipropetrovska,23
22.06.2020,Dnipropetrovska,23
23.06.2020,Dnipropetrovska,23
24.06.2020,Dnipropetrovska,23
25.06.2020,Dnipropetrovska,23
26.06.2020,Dnipropetrovska,23
27.06.2020,Dnipropetrovska,23
28.06.2020,Dnipropetrovska,23
29.06.2020,Dnipropetrovska,23
30.06.2020,Dnipropetrovska,23
01.07.2020,Dnipropetrovska,23
02.07.2020,Dnipropetrovska,23
03.07.2020,Dnipropetrovska,23
04.07.2020,Dnipropetrovska,23
05.07.2020,Dnipropetrovska,23
06.07.2020,Dnipropetrovska,23
07.07.2020,Dnipropetrovska,23
08.07.2020,Dnipropetrovska,23
09.07.2020,Dnipropetrovska,23
10.07.2020,Dnipropetrovska,23
11.07.2020,Dnipropetrovska,23
12.07.2020,Dnipropetrovska,23
13.07.2020,Dnipropetrovska,23
14.07.2020,Dnipropetrovska,23
15.07.2020,Dnipropetrovska,24
16.07.2020,Dnipropetrovska,24
17.07.2020,Dnipropetrovska,24
18.07.2020,Dnipropetrovska,25
19.07.2020,Dnipropetrovska,25
20.07.2020,Dnipropetrovska,25
21.07.2020,Dnipropetrovska,25
22.07.2020,Dnipropetrovska,25
23.07.2020,Dnipropetrovska,26
24.07.2020,Dnipropetrovska,27
25.07.2020,Dnipropetrovska,27
26.07.2020,Dnipropetrovska,27
27.07.2020,Dnipropetrovska,27
28.07.2020,Dnipropetrovska,27
29.07.2020,Dnipropetrovska,27
30.07.2020,Dnipropetrovska,27
31.07.2020,Dnipropetrovska,27
01.08.2020,Dnipropetrovska,28
02.08.2020,Dnipropetrovska,28
03.08.2020,Dnipropetrovska,29
04.08.2020,Dnipropetrovska,30
05.08.2020,Dnipropetrovska,30
06.08.2020,Dnipropetrovska,31
07.08.2020,Dnipropetrovska,31
08.08.2020,Dnipropetrovska,33
09.08.2020,Dnipropetrovska,33
10.08.2020,Dnipropetrovska,33
11.08.2020,Dnipropetrovska,35
12.08.2020,Dnipropetrovska,36
13.08.2020,Dnipropetrovska,37
14.08.2020,Dnipropetrovska,37
15.08.2020,Dnipropetrovska,39
16.08.2020,Dnipropetrovska,39
17.08.2020,Dnipropetrovska,39
18.08.2020,Dnipropetrovska,40
19.08.2020,Dnipropetrovska,40
20.08.2020,Dnipropetrovska,40
21.08.2020,Dnipropetrovska,41
22.08.2020,Dnipropetrovska,41
23.08.2020,Dnipropetrovska,42
24.08.2020,Dnipropetrovska,42
25.08.2020,Dnipropetrovska,42
26.08.2020,Dnipropetrovska,42
27.08.2020,Dnipropetrovska,44
28.08.2020,Dnipropetrovska,45
29.08.2020,Dnipropetrovska,46
30.08.2020,Dnipropetrovska,47
31.08.2020,Dnipropetrovska,47
01.09.2020,Dnipropetrovska,49
02.09.2020,Dnipropetrovska,51
03.09.2020,Dnipropetrovska,52
04.09.2020,Dnipropetrovska,54
05.09.2020,Dnipropetrovska,57
06.09.2020,Dnipropetrovska,60
07.09.2020,Dnipropetrovska,63
08.09.2020,Dnipropetrovska,66
09.09.2020,Dnipropetrovska,68
10.09.2020,Dnipropetrovska,71
11.09.2020,Dnipropetrovska,71
12.09.2020,Dnipropetrovska,75
13.09.2020,Dnipropetrovska,76
14.09.2020,Dnipropetrovska,77
15.09.2020,Dnipropetrovska,78
16.09.2020,Dnipropetrovska,81
17.09.2020,Dnipropetrovska,83
18.09.2020,Dnipropetrovska,86
19.09.2020,Dnipropetrovska,89
20.09.2020,Dnipropetrovska,89
21.09.2020,Dnipropetrovska,89
22.09.2020,Dnipropetrovska,91
13.03.2020,Donetska,0
14.03.2020,Donetska,0
15.03.2020,Donetska,0
16.03.2020,Donetska,0
17.03.2020,Donetska,0
18.03.2020,Donetska,0
19.03.2020,Donetska,0
20.03.2020,Donetska,0
21.03.2020,Donetska,0
22.03.2020,Donetska,0
23.03.2020,Donetska,0
24.03.2020,Donetska,0
25.03.2020,Donetska,0
26.03.2020,Donetska,0
27.03.2020,Donetska,0
28.03.2020,Donetska,0
29.03.2020,Donetska,0
30.03.2020,Donetska,0
31.03.2020,Donetska,0
01.04.2020,Donetska,0
02.04.2020,Donetska,0
03.04.2020,Donetska,0
04.04.2020,Donetska,0
05.04.2020,Donetska,0
06.04.2020,Donetska,1
07.04.2020,Donetska,1
08.04.2020,Donetska,1
09.04.2020,Donetska,1
10.04.2020,Donetska,1
11.04.2020,Donetska,1
12.04.2020,Donetska,1
13.04.2020,Donetska,1
14.04.2020,Donetska,1
15.04.2020,Donetska,1
16.04.2020,Donetska,1
17.04.2020,Donetska,1
18.04.2020,Donetska,1
19.04.2020,Donetska,1
20.04.2020,Donetska,1
21.04.2020,Donetska,1
22.04.2020,Donetska,1
23.04.2020,Donetska,1
24.04.2020,Donetska,1
25.04.2020,Donetska,1
26.04.2020,Donetska,1
27.04.2020,Donetska,1
28.04.2020,Donetska,1
29.04.2020,Donetska,1
30.04.2020,Donetska,1
01.05.2020,Donetska,1
02.05.2020,Donetska,1
03.05.2020,Donetska,1
04.05.2020,Donetska,1
05.05.2020,Donetska,3
06.05.2020,Donetska,3
07.05.2020,Donetska,3
08.05.2020,Donetska,3
09.05.2020,Donetska,3
10.05.2020,Donetska,3
11.05.2020,Donetska,3
12.05.2020,Donetska,3
13.05.2020,Donetska,3
14.05.2020,Donetska,3
15.05.2020,Donetska,3
16.05.2020,Donetska,3
17.05.2020,Donetska,4
